20.47	42.14	25.38	1.66	1.78	0.087	0.194	4.53	205.88	2.431	48.28	4.32	1.727	0.487	3.55	8.87	49.41	467.3	79.02	35.78	31.29	28.29	1.106	0.361	1	
22.94	68.38	15.48	4.417	4.23	0.053	0.168	4.21	189.26	1.713	35.4	6.36	1.818	0.145	12.5	43.9	29.82	25.51	42.17	53.86	15.52	16.26	0.9545	0.138	1	
18.75	57.11	26.74	2.136	4.755	0.127	0.175	4.26	171.88	1.428	34.87	3.98	1.334	0.159	8.39	25	86.09	90.27	73.11	27.95	25.72	27.85	0.9235	0.192	1	
20.14	51.06	19.27	2.65	3.06	0.075	0.388	9.7	224.45	1.765	34.76	4.36	1.415	0.191	7.41	22.8	70.63	193.38	46.52	26.11	46.35	11.42	4.059	0.213	1	
16.22	55.47	22.31	2.486	3.451	0.074	0.184	4.28	184.07	1.916	49.29	6.44	2.045	0.274	7.46	23.5	41.88	57.12	68.24	38.03	27.88	15.06	1.851	0.211	1	
15.07	57.92	12.43	4.66	2.816	0.176	0.072	5.57	225.46	2.089	48.27	6.52	1.923	0.277	6.94	23.5	44.51	109.85	47.88	40.79	24.58	23.69	1.038	0.224	1	
19.75	66.04	18.61	3.549	4.74	0.042	0.074	5.17	185.74	1.835	42.71	6.29	2.265	0.127	17.8	49.5	16.76	46.39	39.04	37.52	17.48	19.32	0.9048	0.101	1	
29.42	88.16	19.48	4.526	3.272	0.063	0.067	4.11	192.96	2.074	39.28	5.19	1.834	0.084	22	62	54.17	84.19	78.19	30.67	21.91	25.67	0.8535	0.084	1	
15.59	81.73	9.56	8.55	4.271	0.153	0.053	4.19	176.41	2.198	37.55	6.56	1.758	0.297	5.92	22.1	41.38	91.97	59.61	30.83	29.18	14.72	1.982	0.253	1	
15.68	54.19	18.53	2.924	3.69	0.069	0.185	5.76	187.28	1.646	32.08	4.16	1.723	0.281	6.13	14.8	57.32	73.15	36.27	33.09	21.88	17.35	1.261	0.246	1	
23.09	57.19	25.34	2.257	6.54	0.084	0.244	4.45	211.72	1.432	32.95	4.82	1.163	0.232	5.01	20.8	44.68	146.67	53.86	31.42	54.11	17.63	3.069	0.285	1	
25.71	54.63	9.14	5.98	2.78	0.052	0.127	4.29	203.85	2.947	41.49	9.08	3.611	0.137	26.4	66.3	12.35	70.5	53.57	48.27	21.35	29.35	0.7274	0.0705	1	
25.11	69.25	12.55	5.518	5.115	0.063	0.094	6.42	230.56	1.645	41.42	8.15	2.311	0.084	28	97	28.39	69.28	76.12	51.65	34.28	22.82	1.502	0.068	1	
